url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2208,1168
/awslabs/fullstack-solution-template-for-agentcore/tree/main,253,115
/awslabs/fullstack-solution-template-for-agentcore/pulls,207,35
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,203,89
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,188,85
/awslabs/fullstack-solution-template-for-agentcore/issues,126,29
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,111,63
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,107,61
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20251201.png,98,54
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,82,42
